country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,23800,,,,,,24600,20400,22800,25200,,,,,59500,63500,67300,68900,70000,,,83600,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,229000,,232000,234000,231000,230000,,200000,172000,160000,127000,95200,72700,53200,46800,66300,80600,99100,118000,115000,114000,145000,162000,186000,,238000,242000,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,17200,12400,,999,1040,1220,1230,1220,552,1180,1220,1180,68,322,606,404,18,34,947,1600,2010,2240,2140,1950,,
Eswatini,35900,37200,36600,35000,35200,34100,34400,34700,36200,37300,37000,35900,38600,42300,43900,43500,46300,46900,49200,51900,50100,50900,49400,50600,47000,41300,42300,,,,,,,,,,,,,34600,23400,13300,22600,30200,29100,31800,32000,35900,33800,,
Ethiopia,,,,,,,,,,,,,,,,,,4820000,4940000,5200000,,,,,7230000,7270000,7100000,,6730000,6640000,6380000,6090000,6010000,6140000,6050000,4920000,4510000,3960000,3290000,3440000,3810000,3290000,3110000,,2190000,2310000,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,3790,,3360,4990,7560,7080,6030,6410,5790,2260,851,667,184,,356,382,656,847,,736,892,844,,900,576,,,,
Finland,,,88200,,,,,,,12300,,,,,,,,,,,,,,4930,5360,6600,6340,4940,1970,617,1010,47,1450,4100,7850,9180,11000,8380,6710,5960,4930,4020,2200,2410,1360,2190,2610,4190,4890,,
France,,113000,117000,116000,104000,,135000,129000,,44600,29700,48100,99300,186000,,199000,89900,4160,5640,5150,3080,447,30100,84300,85900,41000,2050,2320,,124000,137000,139000,141000,149000,149000,3240,1140,5210,20100,36000,51300,9820,15000,23600,56300,21500,7010,2460,1760,,
Gabon,,,,,,577,,,,,,,,,,,,,,,,,,,,,,16300,,,,,,,,,,,,,,,,,,,,,,,
Gambia,,54900,56800,58100,60000,61400,62200,58700,56400,55200,52900,46800,44400,42600,42300,41100,43300,,,,67600,,77800,76300,,,75000,,81700,66700,77200,80900,89100,84400,86000,93100,82600,79000,91800,,92200,95900,89300,92400,95600,78500,75000,68700,65000,54300,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,27300,5010,369,,,,,,,7260,9060,10700,2030,4200,8870,,6590,3300,1190,1870,738,5950,2280,2430,2000,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3030,2890,21500,148000,117000,86800,65500,62900,51300,78700,89300,70100,71500,95200,103000,92100,52600,14500,15000,19800,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220000,991000,1180000,1070000,1110000,,995000,942000,774000,587000,580000,,299000,334000,,,,,90700,154000,35400,
Greece,,72700,68000,57900,44000,41200,39900,45400,52200,61200,75900,61500,59000,51200,51800,53100,61800,82300,75000,79000,80300,80800,93800,105000,104000,87300,84600,72900,20300,14300,5830,15300,15700,17000,20200,26900,28200,28300,,,19100,18000,14600,13300,19000,14100,9880,8150,9250,,
Grenada,,,3800,,,,,393,200,246,675,1480,2000,1990,1570,,,,,,,,,,,,,,,45,,,80,,42,486,,37,25,,,,,,,,,,94,,
Guatemala,500000,501000,506000,,520000,523000,,,543000,553000,547000,527000,581000,552000,,,,,,,,,,,,,,519000,,309000,274000,305000,251000,,171000,144000,114000,96800,102000,,,105000,176000,232000,277000,283000,296000,271000,246000,249000,
Guinea,,,,,,,,,,,,,,,603000,599000,634000,671000,686000,712000,743000,745000,,,,,,,754000,751000,736000,712000,631000,601000,572000,559000,542000,522000,551000,541000,505000,446000,463000,440000,382000,,425000,,,,
Guinea-Bissau,,,,,,,,,,,,64100,55400,,63400,66400,,83300,88400,,,,,,,,,,,,101000,,,,,,,,,,64200,,,,,,,,,,
Guyana,,17400,15600,,12200,,17300,11200,,15700,,,14800,,,,,,,,,8760,11100,12800,,10700,12100,,,,,,,8190,,,,,2050,8050,3770,1800,1730,,,,,,,,
Haiti,,,,,,,,,,,529000,526000,488000,462000,507000,477000,474000,581000,,,,,,,,,,546000,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,168000,152000,154000,,94600,87100,83000,,89800,,,,,120000,,114000,,,,,,,150000,,,111000,107000,166000,125000,194000,157000,173000,159000,156000,197000,233000,242000,250000,233000,214000,,151000,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,40600,46000,107000,65000,8090,6950,15700,11800,9460,14400,15200,11200,8560,11700,7670,5780,6540,9550,11700,12400,11700,11100,8650,9990,17200,,
Iceland,,,,,,,,226,,,,,,,,,,,,,,,,,792,,599,453,144,333,324,226,225,548,1080,1010,837,568,230,83,207,358,524,564,537,408,143,15,19,,
India,,28300000,,,,,,,,,,,,,,,,,,,24400000,,,,,,,,,,19500000,19600000,19900000,14100000,,,,4020000,3970000,5640000,4920000,5450000,3840000,2890000,,,,,,,
Indonesia,,5480000,5420000,,5780000,5430000,4960000,4570000,3190000,,,2290000,937000,618000,558000,537000,695000,493000,571000,550000,986000,1240000,1480000,1810000,1670000,1720000,2000000,2010000,,,,1010000,1200000,1340000,1550000,1820000,1470000,830000,1070000,871000,763000,890000,1140000,1770000,1920000,,1780000,1400000,1560000,,
Iran,,1940000,,,,,,,,,,,,,998000,1050000,1050000,1100000,1110000,1160000,718000,,441000,,,,,777000,,1260000,1130000,,209000,272000,146000,292000,248000,277000,,123000,188000,181000,112000,81700,25700,16300,15500,16900,,,
Iraq,,664000,659000,653000,648000,692000,566000,569000,558000,236000,156000,178000,,298000,,340000,329000,287000,261000,297000,,,,678000,,,814000,,,365000,416000,,,227000,291000,,,322000,,,,,,,,,,,,,
Ireland,,7870,10800,10200,14600,15500,15100,15300,15900,19400,24900,33100,42100,49300,,,55500,52600,48400,46200,44400,46100,49200,49700,48300,45500,40600,,1050,441,179,795,952,83,402,1140,526,806,354,128,981,621,294,376,197,263,64,159,10,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060,2840,874,1050,972,313,145,1390,641,827,676,587,570,360,123,798,828,2750,2210,2790,,
Italy,,,,23300,,,73700,,,22100,,,,,,38400,,,,,,,,,,84400,50300,24300,,3220,2600,6720,8070,10100,8990,15600,17200,16600,16200,13800,11200,13300,7300,3240,23800,42100,58300,71800,89200,,
Jamaica,,,,,,17900,27700,25600,,12500,12300,12500,,8830,12900,15200,14300,7340,17500,6190,8690,14300,,24900,,,,,,29200,24400,24400,27200,31500,24700,,,,,,,,,,,33400,37100,38000,42800,46900,
Jordan,,,39400,24100,17500,16900,15200,12800,10100,12400,35900,47300,50600,65400,68500,66000,,,,,,,,,,,,,,71500,66600,,54200,45100,43900,52700,68600,93300,122000,,192000,228000,273000,294000,,,309000,271000,265000,262000,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66600,1030,2190,4490,3350,3310,7570,10700,1020,1080,3200,3730,2360,2430,1070,298,2260,10300,13200,12900,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070000,1930000,1510000,1680000,952000,1100000,1110000,1220000,628000,902000,763000,,,1380000,,,,,,,,
Kiribati,,,,,,,,,,132,,27,,65,59,125,283,642,,193,,35,8,157,134,245,247,132,,,,,,,,,,,,,,,,,192,385,280,645,,,
Kuwait,,32600,32600,31300,31900,32500,33200,29300,19400,22900,26300,25900,25200,21600,19700,17500,18500,28700,33800,,,,105000,,51600,,14500,14700,6850,7080,12200,13400,9820,11100,8650,14100,,2760,2890,,2070,1140,1320,2660,3110,4310,7290,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,36200,,,26200,30900,26400,26900,27200,5290,16600,10800,14800,16600,18900,15800,16600,6260,1760,1460,1670,1680,1360,1410,2570,
Lao,,,,,,,,,,,,,,,,,,,191000,,203000,,255000,234000,218000,,219000,208000,190000,190000,188000,195000,188000,168000,162000,150000,135000,113000,93300,75000,40000,41600,41400,27500,25400,38100,45200,57300,65400,64900,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581,,,,,,,,,10,972,958,852,1640,2120,2260,2410,2110,1850,1380,,
Lebanon,,,,,7120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,82100,91600,92400,94100,79800,,83500,84600,104000,105000,108000,111000,104000,109000,110000,106000,110000,109000,110000,116000,123000,121000,123000,133000,131000,136000,136000,,163000,173000,95100,86700,75100,63600,60800,52900,44100,48500,42500,40200,33600,33100,32600,29500,28600,23600,16400,7410,,,
